Year,Month,Day,Category,Material Type,Weight (lbs),Vendor,Date Updated,Cost,Notes
2005,jan,15,recycle,r-mixed recycling,43857.0,mission trail,rg,1137.86,500 el camino real
2005,feb,15,recycle,r-mixed recycling,38734.0,mission trail,rg,1137.86,500 el camino real
2005,mar,15,recycle,r-mixed recycling,41562.0,mission trail,rg,1137.86,500 el camino real
2005,apr,15,recycle,r-mixed recycling,41390.0,mission trail,rg,1137.86,500 el camino real
2005,may,15,recycle,r-mixed recycling,51570.0,mission trail,rg,1137.86,500 el camino real
2005,jun,15,recycle,r-mixed recycling,52310.0,mission trail,rg,1137.86,500 el camino real
2005,jul,15,recycle,r-mixed recycling,16900.0,mission trail,rg,1137.86,500 el camino real
2005,aug,15,recycle,r-mixed recycling,51640.0,mission trail,rg,1137.86,500 el camino real
2005,sep,15,recycle,r-mixed recycling,52655.0,mission trail,rg,1137.86,500 el camino real
2005,oct,15,recycle,r-mixed recycling,45376.0,mission trail,rg,1137.86,500 el camino real
2005,nov,15,recycle,r-mixed recycling,47454.0,mission trail,rg,1137.86,500 el camino real
2005,dec,15,recycle,r-mixed recycling,28200.0,mission trail,rg,1137.86,500 el camino real
2005,jan,15,landfill,l-landfill,244980.0,mission trail,rg,1137.86,500 el camino real
2005,feb,15,landfill,l-landfill,195980.0,mission trail,rg,1137.86,500 el camino real
2005,mar,15,landfill,l-landfill,190340.0,mission trail,rg,1137.86,500 el camino real
2005,apr,15,landfill,l-landfill,274060.0,mission trail,rg,1137.86,500 el camino real
2005,may,15,landfill,l-landfill,226340.0,mission trail,rg,1137.86,500 el camino real
2005,jun,15,landfill,l-landfill,306820.0,mission trail,rg,1137.86,500 el camino real
2005,jul,15,landfill,l-landfill,126700.0,mission trail,rg,1137.86,500 el camino real
2005,aug,15,landfill,l-landfill,218540.0,mission trail,rg,1137.86,500 el camino real
2005,sep,15,landfill,l-landfill,243480.0,mission trail,rg,1137.86,500 el camino real
2005,oct,15,landfill,l-landfill,245920.0,mission trail,rg,1137.86,500 el camino real
2005,nov,15,landfill,l-landfill,243000.0,mission trail,rg,1137.86,500 el camino real
2005,dec,15,landfill,l-landfill,170900.0,mission trail,rg,1137.86,500 el camino real
2006,jan,15,recycle,r-mixed recycling,42515.0,mission trail,rg,1137.86,500 el camino real
2006,feb,15,recycle,r-mixed recycling,34395.0,mission trail,rg,1137.86,500 el camino real
2006,mar,15,recycle,r-mixed recycling,50976.0,mission trail,rg,1137.86,500 el camino real
2006,apr,15,recycle,r-mixed recycling,46795.0,mission trail,rg,1137.86,500 el camino real
2006,may,15,recycle,r-mixed recycling,59962.0,mission trail,rg,1137.86,500 el camino real
2006,jun,15,recycle,r-mixed recycling,42600.0,mission trail,rg,1137.86,500 el camino real
2006,jul,15,recycle,r-mixed recycling,36530.0,mission trail,rg,1137.86,500 el camino real
2006,aug,15,recycle,r-mixed recycling,41090.0,mission trail,rg,1137.86,500 el camino real
2006,sep,15,recycle,r-mixed recycling,51775.0,mission trail,rg,1137.86,500 el camino real
2006,oct,15,recycle,r-mixed recycling,56995.0,mission trail,rg,1137.86,500 el camino real
2006,nov,15,recycle,r-mixed recycling,7540.0,mission trail,rg,1137.86,500 el camino real
2006,dec,15,recycle,r-mixed recycling,8826.0,mission trail,rg,1137.86,500 el camino real
2006,jan,15,landfill,l-landfill,253780.0,mission trail,rg,1137.86,500 el camino real
2006,feb,15,landfill,l-landfill,226980.0,mission trail,rg,1137.86,500 el camino real
2006,mar,15,landfill,l-landfill,242760.0,mission trail,rg,1137.86,500 el camino real
2006,apr,15,landfill,l-landfill,218520.0,mission trail,rg,1137.86,500 el camino real
2006,may,15,landfill,l-landfill,304480.0,mission trail,rg,1137.86,500 el camino real
2006,jun,15,landfill,l-landfill,287400.0,mission trail,rg,1137.86,500 el camino real
2006,jul,15,landfill,l-landfill,135460.0,mission trail,rg,1137.86,500 el camino real
2006,aug,15,landfill,l-landfill,197360.0,mission trail,rg,1137.86,500 el camino real
2006,sep,15,landfill,l-landfill,267520.0,mission trail,rg,1137.86,500 el camino real
2006,oct,15,landfill,l-landfill,322680.0,mission trail,rg,1137.86,500 el camino real
2006,nov,15,landfill,l-landfill,239420.0,mission trail,rg,1137.86,500 el camino real
2006,dec,15,landfill,l-landfill,160960.0,mission trail,rg,1137.86,500 el camino real
2007,jan,15,recycle,r-mixed recycling,61710.0,mission trail,rg,1137.86,500 el camino real
2007,feb,15,recycle,r-mixed recycling,30520.0,mission trail,rg,1137.86,500 el camino real
2007,mar,15,recycle,r-mixed recycling,43339.0,mission trail,rg,1137.86,500 el camino real
2007,apr,15,recycle,r-mixed recycling,32180.0,mission trail,rg,1137.86,500 el camino real
2007,may,15,recycle,r-mixed recycling,28670.0,mission trail,rg,1137.86,500 el camino real
2007,jun,15,recycle,r-mixed recycling,46749.0,mission trail,rg,1137.86,500 el camino real
2007,jul,15,recycle,r-mixed recycling,61260.0,mission trail,rg,1137.86,500 el camino real
2007,aug,15,recycle,r-mixed recycling,27580.0,mission trail,rg,1137.86,500 el camino real
2007,sep,15,recycle,r-mixed recycling,34920.0,mission trail,rg,1137.86,500 el camino real
2007,oct,15,recycle,r-mixed recycling,52863.0,mission trail,rg,1137.86,500 el camino real
2007,nov,15,recycle,r-mixed recycling,34060.0,mission trail,rg,1137.86,500 el camino real
2007,dec,15,recycle,r-mixed recycling,31488.0,mission trail,rg,1137.86,500 el camino real
2007,jan,15,landfill,l-landfill,219740.0,mission trail,rg,1137.86,500 el camino real
